ENSG00000175756
ENSG00000172586
ENSG00000132676
ENSG00000149806
ENSG00000179271
ENSG00000159111
ENSG00000174547
ENSG00000262814
ENSG00000172172
ENSG00000180992
ENSG00000137547
ENSG00000166902
ENSG00000158042
ENSG00000112110
ENSG00000115364
ENSG00000169288
ENSG00000242485
ENSG00000197345
ENSG00000082515
ENSG00000214026
ENSG00000288141
ENSG00000143314
ENSG00000108826
ENSG00000086504
ENSG00000112651
ENSG00000185414
ENSG00000106591
ENSG00000243147
ENSG00000130312
ENSG00000132313
ENSG00000171421
ENSG00000116221
ENSG00000204316
ENSG00000154719
ENSG00000114686
ENSG00000185608
ENSG00000182154
ENSG00000198015
ENSG00000055950
ENSG00000135900
ENSG00000277936
ENSG00000278845
ENSG00000259494
ENSG00000136522
ENSG00000175581
ENSG00000149792
ENSG00000105364
ENSG00000136897
ENSG00000111639
ENSG00000172590
ENSG00000204822
ENSG00000183617
ENSG00000162910
ENSG00000173141
ENSG00000167862
ENSG00000143436
ENSG00000048544
ENSG00000181991
ENSG00000128626
ENSG00000283018
ENSG00000120333
ENSG00000116898
ENSG00000182180
ENSG00000239789
ENSG00000096080
ENSG00000203624
ENSG00000204568
ENSG00000223775
ENSG00000226111
ENSG00000227420
ENSG00000229861
ENSG00000233813
ENSG00000163319
ENSG00000266472
ENSG00000175110
ENSG00000181610
ENSG00000062582
ENSG00000131368
ENSG00000125901
ENSG00000113048
ENSG00000147586
ENSG00000122140
ENSG00000112996
ENSG00000102738
ENSG00000090263
ENSG00000074071
ENSG00000061794
ENSG00000144029
ENSG00000243927
ENSG00000125445
ENSG00000135972
ENSG00000211459
ENSG00000210082
ENSG00000132300
ENSG00000278189
ENSG00000288326
ENSG00000278233
ENSG00000275215
ENSG00000288387
ENSG00000276700
ENSG00000274917
ENSG00000199910
ENSG00000199334
ENSG00000199270
ENSG00000202526
ENSG00000201355
ENSG00000201925
ENSG00000202257
ENSG00000284853
ENSG00000200370
ENSG00000285158
ENSG00000199352
ENSG00000285166
ENSG00000201588
ENSG00000285285
ENSG00000199337
ENSG00000285168
ENSG00000200381
ENSG00000199396
ENSG00000200624
ENSG00000202521
ENSG00000200343
ENSG00000201321
ENSG00000198755
ENSG00000147403
ENSG00000165496
ENSG00000142676
ENSG00000197958
ENSG00000142541
ENSG00000167526
ENSG00000188846
ENSG00000174748
ENSG00000265681
ENSG00000105640
ENSG00000063177
ENSG00000108298
ENSG00000122026
ENSG00000116251
ENSG00000163584
ENSG00000198242
ENSG00000125691
ENSG00000114391
ENSG00000161970
ENSG00000037241
ENSG00000166441
ENSG00000131469
ENSG00000108107
ENSG00000162244
ENSG00000156482
ENSG00000071082
ENSG00000144713
ENSG00000109475
ENSG00000182899
ENSG00000136942
ENSG00000241343
ENSG00000165502
ENSG00000130255
ENSG00000197756
ENSG00000145592
ENSG00000172809
ENSG00000198918
ENSG00000163923
ENSG00000100316
ENSG00000140986
ENSG00000291929
ENSG00000229117
ENSG00000174444
ENSG00000122406
ENSG00000089009
ENSG00000148303
ENSG00000280858
ENSG00000147604
ENSG00000146223
ENSG00000161016
ENSG00000163682
ENSG00000089157
ENSG00000137818
ENSG00000177600
ENSG00000124614
ENSG00000142534
ENSG00000112306
ENSG00000110700
ENSG00000164587
ENSG00000134419
ENSG00000115268
ENSG00000105193
ENSG00000182774
ENSG00000278229
ENSG00000096150
ENSG00000223367
ENSG00000226225
ENSG00000227794
ENSG00000231500
ENSG00000235650
ENSG00000105372
ENSG00000008988
ENSG00000171858
ENSG00000186468
ENSG00000138326
ENSG00000118181
ENSG00000280831
ENSG00000197728
ENSG00000143947
ENSG00000177954
ENSG00000185088
ENSG00000233927
ENSG00000213741
ENSG00000140988
ENSG00000291931
ENSG00000145425
ENSG00000292158
ENSG00000149273
ENSG00000198034
ENSG00000129824
ENSG00000280969
ENSG00000083845
ENSG00000137154
ENSG00000171863
ENSG00000142937
ENSG00000170889
ENSG00000274005
ENSG00000274626
ENSG00000274646
ENSG00000274950
ENSG00000275323
ENSG00000277079
ENSG00000277359
ENSG00000278081
ENSG00000278270
ENSG00000168028
ENSG00000221983
